EmpId,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,Department
23001,0.38,0.53,2,157,3,0,1,0,sales,low,sales
23002,0.8,0.86,5,262,6,0,1,0,sales,medium,sales
23003,0.11,0.88,7,272,4,0,1,0,sales,medium,sales
23004,0.72,0.87,5,223,5,0,1,0,sales,low,sales
23005,0.37,0.52,2,159,3,0,1,0,sales,low,sales
23006,0.41,0.5,2,153,3,0,1,0,sales,low,sales
23007,0.1,0.77,6,247,4,0,1,0,sales,low,sales
23008,0.92,0.85,5,259,5,0,1,0,sales,low,sales
23009,0.89,1,5,224,5,0,1,0,sales,low,sales
23010,0.42,0.53,2,142,3,0,1,0,sales,low,sales
23011,0.45,0.54,2,135,3,0,1,0,sales,low,sales
23012,0.11,0.81,6,305,4,0,1,0,sales,low,sales
23013,0.84,0.92,4,234,5,0,1,0,sales,low,sales
23014,0.41,0.55,2,148,3,0,1,0,sales,low,sales
23015,0.36,0.56,2,137,3,0,1,0,sales,low,sales
23016,0.38,0.54,2,143,3,0,1,0,sales,low,sales
23017,0.45,0.47,2,160,3,0,1,0,sales,low,sales
23018,0.78,0.99,4,255,6,0,1,0,sales,low,sales
23019,0.45,0.51,2,160,3,1,1,1,sales,low,sales
23020,0.76,0.89,5,262,5,0,1,0,sales,low,sales
23021,0.11,0.83,6,282,4,0,1,0,sales,low,sales
23022,0.38,0.55,2,147,3,0,1,0,sales,low,sales
23023,0.09,0.95,6,304,4,0,1,0,sales,low,sales
23024,0.46,0.57,2,139,3,0,1,0,sales,low,sales
23025,0.4,0.53,2,158,3,0,1,0,sales,low,sales
23026,0.89,0.92,5,242,5,0,1,0,sales,low,sales
23027,0.82,0.87,4,239,5,0,1,0,sales,low,sales
23028,0.4,0.49,2,135,3,0,1,0,sales,low,sales
23029,0.41,0.46,2,128,3,0,1,0,accounting,low,accounting
23030,0.38,0.5,2,132,3,0,1,0,accounting,low,accounting
23031,0.09,0.62,6,294,4,0,1,0,accounting,low,accounting
23032,0.45,0.57,2,134,3,0,1,0,hr,low,hr
23033,0.4,0.51,2,145,3,0,1,0,hr,low,hr
23034,0.45,0.55,2,140,3,0,1,0,hr,low,hr
23035,0.84,0.87,4,246,6,0,1,0,hr,low,hr
23036,0.1,0.94,6,255,4,0,1,0,technical,low,technical
23037,0.38,0.46,2,137,3,0,1,0,technical,low,technical
23038,0.45,0.5,2,126,3,0,1,0,technical,low,technical
23039,0.11,0.89,6,306,4,0,1,0,technical,low,technical
23040,0.41,0.54,2,152,3,0,1,0,technical,low,technical
23041,0.87,0.88,5,269,5,0,1,0,technical,low,technical
23042,0.45,0.48,2,158,3,0,1,0,technical,low,technical
23043,0.4,0.46,2,127,3,0,1,0,technical,low,technical
23044,0.1,0.8,7,281,4,0,1,0,technical,low,technical
23045,0.09,0.89,6,276,4,0,1,0,technical,low,technical
23046,0.84,0.74,3,182,4,0,1,0,technical,low,technical
23047,0.4,0.55,2,147,3,0,1,0,support,low,support
23048,0.57,0.7,3,273,6,0,1,0,support,low,support
23049,0.4,0.54,2,148,3,0,1,0,support,low,support
23050,0.43,0.47,2,147,3,0,1,0,support,low,support
23051,0.13,0.78,6,152,2,0,1,0,support,low,support
23052,0.44,0.55,2,135,3,0,1,0,support,low,support
23053,0.38,0.55,2,134,3,0,1,0,support,low,support
23054,0.39,0.54,2,132,3,0,1,0,support,low,support
23055,0.1,0.92,7,307,4,0,1,0,support,low,support
23056,0.37,0.46,2,140,3,0,1,0,support,low,support
23057,0.11,0.94,7,255,4,0,1,0,support,low,support
23058,0.1,0.81,6,309,4,0,1,0,technical,low,technical
23059,0.38,0.54,2,128,3,0,1,0,technical,low,technical
23060,0.85,1,4,225,5,0,1,0,technical,low,technical
23061,0.85,0.91,5,226,5,0,1,0,management,medium,management
23062,0.11,0.93,7,308,4,0,1,0,IT,medium,IT
23063,0.1,0.95,6,244,5,0,1,0,IT,medium,IT
23064,0.36,0.56,2,132,3,0,1,0,IT,medium,IT
23065,0.11,0.94,6,286,4,0,1,0,IT,medium,IT
23066,0.81,0.7,6,161,4,0,1,0,IT,medium,IT
23067,0.43,0.54,2,153,3,0,1,0,product_mng,medium,product_mng
23068,0.9,0.98,4,264,6,0,1,0,product_mng,medium,product_mng
23069,0.76,0.86,5,223,5,1,1,0,product_mng,medium,product_mng
23070,0.43,0.5,2,135,3,0,1,0,product_mng,medium,product_mng
23071,0.74,0.99,2,277,3,0,1,0,IT,medium,IT
23072,0.09,0.77,5,275,4,0,1,0,product_mng,medium,product_mng
23073,0.45,0.49,2,149,3,0,1,0,product_mng,high,product_mng
23074,0.09,0.87,7,295,4,0,1,0,product_mng,low,product_mng
23075,0.11,0.97,6,277,4,0,1,0,product_mng,medium,product_mng
23076,0.11,0.79,7,306,4,0,1,0,product_mng,medium,product_mng
23077,0.1,0.83,6,295,4,0,1,0,product_mng,medium,product_mng
23078,0.4,0.54,2,137,3,0,1,0,marketing,medium,marketing
23079,0.43,0.56,2,157,3,0,1,0,sales,low,sales
23080,0.39,0.56,2,142,3,0,1,0,accounting,low,accounting
23081,0.45,0.54,2,140,3,0,1,0,support,low,support
23082,0.38,0.49,2,151,3,0,1,0,technical,low,technical
23083,0.79,0.59,4,139,3,0,1,1,management,low,management
23084,0.84,0.85,4,249,6,0,1,0,marketing,low,marketing
23085,0.11,0.77,6,291,4,0,1,0,marketing,low,marketing
23086,0.11,0.87,6,305,4,0,1,0,marketing,low,marketing
23087,0.17,0.84,5,232,3,0,1,0,sales,low,sales
23088,0.44,0.45,2,132,3,0,1,0,sales,low,sales
23089,0.37,0.57,2,130,3,0,1,0,sales,low,sales
23090,0.1,0.79,6,291,4,0,1,0,sales,low,sales
23091,0.4,0.5,2,130,3,0,1,0,sales,low,sales
23092,0.89,1,5,246,5,0,1,0,sales,low,sales
23093,0.42,0.48,2,143,3,0,1,0,sales,low,sales
23094,0.46,0.55,2,129,3,0,1,0,sales,low,sales
23095,0.09,0.83,6,255,4,0,1,0,sales,low,sales
23096,0.37,0.51,2,155,3,0,1,0,sales,low,sales
23097,0.1,0.77,6,265,4,0,1,0,sales,low,sales
23098,0.1,0.84,6,279,4,0,1,0,sales,low,sales
23099,0.11,0.97,6,284,4,0,1,0,sales,low,sales
23100,0.9,1,5,221,6,0,1,0,sales,medium,sales
23101,0.38,0.52,2,154,3,0,1,0,sales,medium,sales
23102,0.36,0.52,2,147,3,0,1,0,sales,medium,sales
23103,0.42,0.46,2,150,3,0,1,0,sales,medium,sales
23104,0.09,0.94,7,267,4,0,1,0,sales,medium,sales
23105,0.43,0.52,2,158,3,0,1,0,sales,medium,sales
23106,0.24,0.46,7,224,5,0,1,0,accounting,medium,accounting
23107,0.91,1,4,257,5,0,1,0,accounting,medium,accounting
23108,0.44,0.5,2,148,3,0,1,0,accounting,medium,accounting
23109,0.71,0.87,3,177,4,0,1,0,hr,medium,hr
23110,0.4,0.49,2,155,3,0,1,0,hr,medium,hr
23111,0.43,0.47,2,144,3,0,1,0,hr,medium,hr
23112,0.09,0.85,6,289,4,0,1,0,hr,high,hr
23113,0.43,0.52,2,160,3,0,1,0,technical,low,technical
23114,0.9,0.96,4,258,5,0,1,0,technical,medium,technical
23115,0.84,1,5,234,5,0,1,0,technical,medium,technical
23116,0.37,0.48,2,137,3,0,1,0,technical,medium,technical
23117,0.86,0.68,5,263,2,0,1,0,technical,medium,technical
23118,0.11,0.84,6,251,4,0,1,0,technical,low,technical
23119,0.37,0.57,2,133,3,0,1,0,technical,low,technical
23120,0.4,0.46,2,132,3,0,1,0,technical,low,technical
23121,0.14,0.62,4,158,4,1,1,0,technical,low,technical
23122,0.4,0.46,2,135,3,0,1,0,technical,low,technical
23123,0.75,1,4,216,6,0,1,0,technical,low,technical
23124,0.11,0.84,6,300,5,1,1,0,support,low,support
23125,0.46,0.49,2,138,3,0,1,0,support,low,support
23126,0.11,0.92,6,260,4,0,1,0,support,low,support
23127,0.38,0.49,2,132,3,0,1,0,support,low,support
23128,0.7,0.89,3,183,5,0,1,0,support,low,support
23129,0.09,0.82,6,250,4,0,1,0,support,low,support
23130,0.37,0.45,2,151,3,0,1,0,support,low,support
23131,0.1,0.83,6,292,4,0,1,0,support,low,support
23132,0.38,0.57,2,140,3,0,1,0,support,low,support
23133,0.9,1,5,221,5,0,1,0,support,low,support
